,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Last Seen
0,1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False,2020-01-21 13:00:00
1,2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False,2020-01-26 06:00:00
2,3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False,2020-02-02 00:00:00
3,3,VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,False,2020-01-24 08:00:00
4,4,Charmander,Fire,,309,39,52,43,60,50,65,1,False,2020-02-22 16:00:00
5,5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,False,2020-02-21 18:00:00
6,6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False,2020-01-25 04:00:00
7,6,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,False,2020-02-24 08:00:00
8,6,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,False,2020-01-22 13:00:00
9,7,Squirtle,Water,,314,44,48,65,50,64,43,1,False,2020-02-13 19:00:00
10,8,Wartortle,Water,,405,59,63,80,65,80,58,1,False,2020-01-13 00:00:00
11,9,Blastoise,Water,,530,79,83,100,85,105,78,1,False,2020-01-12 15:00:00
12,9,BlastoiseMega Blastoise,Water,,630,79,103,120,135,115,78,1,False,2020-02-19 02:00:00
13,10,Caterpie,Bug,,195,45,30,35,20,20,45,1,False,2020-01-31 06:00:00
14,11,Metapod,Bug,,205,50,20,55,25,25,30,1,False,2020-01-27 00:00:00
15,12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,False,2020-02-22 02:00:00
16,13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,False,2020-02-19 01:00:00
17,14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,False,2020-02-08 00:00:00
18,15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False,2020-02-07 02:00:00
19,15,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,False,2020-02-01 11:00:00
20,16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False,2020-02-18 03:00:00
21,17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False,2020-01-17 13:00:00
22,18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False,2020-02-10 06:00:00
23,18,PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,False,2020-02-16 23:00:00
24,19,Rattata,Normal,,253,30,56,35,25,35,72,1,False,2020-02-01 07:00:00
25,20,Raticate,Normal,,413,55,81,60,50,70,97,1,False,2020-01-29 17:00:00
26,21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,False,2019-12-29 23:00:00
27,22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,False,2020-02-02 11:00:00
28,23,Ekans,Poison,,288,35,60,44,40,54,55,1,False,2020-02-14 16:00:00
29,24,Arbok,Poison,,438,60,85,69,65,79,80,1,False,2020-02-10 18:00:00
30,25,Pikachu,Electric,,320,35,55,40,50,50,90,1,False,2020-02-09 07:00:00
